Well,date,top measure (m),bottom measure (m),formation,,,Dataset Name
100/04-07-081-24W4/00,2001-02-05,456,457,,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/04-07-081-24W4/00,2001-02-21,427,428.5,,JET PERFORATION,JET PERFORATION,Perforation
100/04-07-081-24W4/00,2001-02-22,364,365,,JET PERFORATION,JET PERFORATION,Perforation
100/04-07-081-24W4/00,2001-02-22,404,406,,JET PERFORATION,JET PERFORATION,Perforation
100/04-07-081-24W4/00,2001-03-06,424.3,0,,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/06-08-081-24W4/00,1998-01-20,465,469,MCMURRAY FM,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/06-08-081-24W4/00,1999-06-17,431.5,434,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/06-08-081-24W4/00,1999-06-17,438,439,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/06-08-081-24W4/00,2007-02-17,454,0,MCMURRAY FM,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/06-09-081-24W4/00,1998-02-02,472,479.5,WABAMUN GRP,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/06-09-081-24W4/00,1998-02-05,439,440.5,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/06-09-081-24W4/00,1999-02-14,329,330,SPARKY MBR,JET PERFORATION,JET PERFORATION,Perforation
100/06-09-081-24W4/00,1999-02-14,346,347,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/06-09-081-24W4/00,1999-02-14,357,359,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/06-09-081-24W4/00,1999-02-14,387,388,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/06-09-081-24W4/00,1999-02-14,414,415,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/06-09-081-24W4/00,1999-02-14,439,440.5,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/06-09-081-24W4/00,2003-05-07,419.3,0,CLEARWATER FM,PACKER,PACKER,Packer
100/06-18-081-24W4/00,1996-01-02,471.6,476,,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/06-18-081-24W4/00,1996-01-04,431,433,,JET PERFORATION,JET PERFORATION,Perforation
100/06-18-081-24W4/00,2002-01-27,465,0,,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/06-19-081-24W4/00,1990-12-06,458,462,WABAMUN GRP,JET PERFORATION,JET PERFORATION,Perforation
100/06-19-081-24W4/00,1990-12-08,423.5,427,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/06-19-081-24W4/00,2000-01-11,432.2,0,WABISKAW MBR,PACKER,PACKER,Packer
100/06-21-080-24W4/00,2001-02-06,432.7,433.7,WABISKAW MBR,OPEN-HOLE COMPLETION,OPEN-HOLE COMPLETION,OpenHole : 0
100/06-21-080-24W4/00,2001-02-09,396,398,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/06-21-080-24W4/00,2001-02-09,415,0,WABISKAW MBR,BRIDGE PLUG,BRIDGE PLUG,Perforation
100/06-21-080-24W4/00,2001-02-15,314.5,316,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/06-21-080-24W4/00,2001-02-15,333.8,334.3,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/06-21-080-24W4/00,2001-02-15,373.8,374.3,CLEARWATER FM,JET PERFORATION,JET PERFORATION,Perforation
100/06-21-080-24W4/00,2001-03-04,394,0,WABISKAW MBR,PACKER,PACKER,Packer
100/06-30-081-24W4/00,2002-02-03,384,384.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/06-30-081-24W4/00,2002-02-05,292,293.5,LOWER GRAND RAPIDS,JET PERFORATION,JET PERFORATION,Perforation
100/06-30-081-24W4/00,2002-02-05,314.5,315.2,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/06-30-081-24W4/00,2002-02-05,323.5,324.1,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/06-30-081-24W4/00,2002-02-05,326,326.5,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/06-30-081-24W4/00,2002-02-05,344,345,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/06-30-081-24W4/00,2002-02-05,356,359,CLEARWATER SD,JET PERFORATION,JET PERFORATION,Perforation
100/08-07-081-24W4/00,2004-01-18,435.6,436.1,,JET PERFORATION,JET PERFORATION,Perforation
100/08-07-081-24W4/00,2004-02-06,404,405,,JET PERFORATION,JET PERFORATION,Perforation
100/08-07-081-24W4/00,2004-02-12,376.5,378.5,,JET PERFORATION,JET PERFORATION,Perforation
100/08-07-081-24W4/00,2004-03-06,432,0,,PACKER,PACKER,Packer
100/08-07-081-24W4/00,2010-01-22,425,0,,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/08-07-081-24W4/00,2010-01-22,429.2,430.2,,JET PERFORATION,JET PERFORATION,Perforation
100/10-36-081-25W4/00,1998-09-26,294,295,LOWER GRAND RAPIDS,JET PERFORATION,JET PERFORATION,Perforation
100/10-36-081-25W4/00,1998-09-26,411.5,412.5,WABISKAW MBR,JET PERFORATION,JET PERFORATION,Perforation
100/10-36-081-25W4/00,2000-02-20,411,0,LOWER GRAND RAPIDS,BRIDGE PLUG,BRIDGE PLUG,BridgePlug
100/10-36-081-25W4/00,2000-02-21,329,330,LOWER GRAND RAPIDS,JET PERFORATION,JET PERFORATION,Perforation
100/10-36-081-25W4/00,2000-02-21,348,349,LOWER GRAND RAPIDS,JET PERFORATION,JET PERFORATION,Perforation
100/10-36-081-25W4/00,2000-02-21,360.5,363,LOWER GRAND RAPIDS,JET PERFORATION,JET PERFORATION,Perforation
