uwi,formatted uwi,date,top measure (m),bottom measure (m),Treatment
100040708124W400,100/04-07-081-24W4/00,2001-02-05,456,457,OPEN-HOLE COMPLETION
100040708124W400,100/04-07-081-24W4/00,2001-02-09,456,457,ACID WASH - NO PRESSURE
100040708124W400,100/04-07-081-24W4/00,2001-02-21,427,428.5,JET PERFORATION
100040708124W400,100/04-07-081-24W4/00,2001-02-22,364,365,JET PERFORATION
100040708124W400,100/04-07-081-24W4/00,2001-02-22,404,406,JET PERFORATION
100040708124W400,100/04-07-081-24W4/00,2001-02-25,364,406,FRACTURED
100040708124W400,100/04-07-081-24W4/00,2001-03-06,424.3,434.3,BRIDGE PLUG
100060808124W400,100/06-08-081-24W4/00,1998-01-20,465,469,OPEN-HOLE COMPLETION
100060808124W400,100/06-08-081-24W4/00,1999-06-17,431.5,434,JET PERFORATION
100060808124W400,100/06-08-081-24W4/00,1999-06-17,438,439,JET PERFORATION
100060808124W400,100/06-08-081-24W4/00,2007-02-17,454,464,BRIDGE PLUG
100060908124W400,100/06-09-081-24W4/00,1998-02-02,472,479.5,OPEN-HOLE COMPLETION
100060908124W400,100/06-09-081-24W4/00,1998-02-04,450,460,HISTORICAL
100060908124W400,100/06-09-081-24W4/00,1998-02-04,471.5,481.5,HISTORICAL
100060908124W400,100/06-09-081-24W4/00,1998-02-05,439,440.5,JET PERFORATION
100060908124W400,100/06-09-081-24W4/00,1999-02-14,329,330,JET PERFORATION
100060908124W400,100/06-09-081-24W4/00,1999-02-14,346,347,JET PERFORATION
100060908124W400,100/06-09-081-24W4/00,1999-02-14,357,359,JET PERFORATION
100060908124W400,100/06-09-081-24W4/00,1999-02-14,387,388,JET PERFORATION
100060908124W400,100/06-09-081-24W4/00,1999-02-14,414,415,JET PERFORATION
100060908124W400,100/06-09-081-24W4/00,1999-02-14,439,440.5,JET PERFORATION
100060908124W400,100/06-09-081-24W4/00,2003-05-07,419.3,429.3,PACKER
100061808124W400,100/06-18-081-24W4/00,1996-01-02,471.6,476,OPEN-HOLE COMPLETION
100061808124W400,100/06-18-081-24W4/00,1996-01-04,431,433,JET PERFORATION
100061808124W400,100/06-18-081-24W4/00,2002-01-27,465,475,BRIDGE PLUG
100061908124W400,100/06-19-081-24W4/00,1990-12-06,458,462,JET PERFORATION
100061908124W400,100/06-19-081-24W4/00,1990-12-08,423.5,427,JET PERFORATION
100061908124W400,100/06-19-081-24W4/00,2000-01-11,432.2,442.2,PACKER
100062108024W400,100/06-21-080-24W4/00,2001-02-06,432.7,433.7,OPEN-HOLE COMPLETION
100062108024W400,100/06-21-080-24W4/00,2001-02-09,396,398,JET PERFORATION
100062108024W400,100/06-21-080-24W4/00,2001-02-09,415,425,BRIDGE PLUG
100062108024W400,100/06-21-080-24W4/00,2001-02-15,314.5,316,JET PERFORATION
100062108024W400,100/06-21-080-24W4/00,2001-02-15,333.8,334.3,JET PERFORATION
100062108024W400,100/06-21-080-24W4/00,2001-02-15,373.8,374.3,JET PERFORATION
100062108024W400,100/06-21-080-24W4/00,2001-03-04,394,404,PACKER
100063008124W400,100/06-30-081-24W4/00,2002-02-03,384,384.5,JET PERFORATION
100063008124W400,100/06-30-081-24W4/00,2002-02-05,292,293.5,JET PERFORATION
100063008124W400,100/06-30-081-24W4/00,2002-02-05,314.5,315.2,JET PERFORATION
100063008124W400,100/06-30-081-24W4/00,2002-02-05,323.5,324.1,JET PERFORATION
100063008124W400,100/06-30-081-24W4/00,2002-02-05,326,326.5,JET PERFORATION
100063008124W400,100/06-30-081-24W4/00,2002-02-05,344,345,JET PERFORATION
100063008124W400,100/06-30-081-24W4/00,2002-02-05,356,359,JET PERFORATION
100071008225W400,100/07-10-082-25W4/00,2000-03-09,299,300,JET PERFORATION
100071008225W400,100/07-10-082-25W4/00,2000-03-09,307.5,311.5,JET PERFORATION
100071008225W400,100/07-10-082-25W4/00,2000-03-09,328,331,JET PERFORATION
100071008225W400,100/07-10-082-25W4/00,2000-03-09,343,347.5,JET PERFORATION
100071008225W400,100/07-10-082-25W4/00,2011-03-05,302.5,312.5,PACKER
100071108225W400,100/07-11-082-25W4/00,1978-01-16,445.9,454.5,OPEN-HOLE COMPLETION
100071108225W400,100/07-11-082-25W4/00,1978-01-19,416.4,418.2,JET PERFORATION
100071108225W400,100/07-11-082-25W4/00,1978-01-19,422.5,424.9,JET PERFORATION
100071108225W400,100/07-11-082-25W4/00,1995-07-16,413.9,414.8,JET PERFORATION
100071108225W400,100/07-11-082-25W4/00,1995-09-28,427.5,437.5,HISTORICAL
100071108225W400,100/07-11-082-25W4/00,1995-09-28,445.9,454.5,SLOTTED LINER OR CASING
100071108225W400,100/07-11-082-25W4/00,1995-09-30,412,422,HISTORICAL
100071108225W400,100/07-11-082-25W4/00,1997-12-04,328.6,333.4,JET PERFORATION
100071108225W400,100/07-11-082-25W4/00,1997-12-04,348.7,351.1,JET PERFORATION
100071108225W400,100/07-11-082-25W4/00,1997-12-04,363.3,367.6,JET PERFORATION
100071108225W400,100/07-11-082-25W4/00,1997-12-04,397,405,BRIDGE PLUG CAPPED W/CEMENT
100071108225W400,100/07-11-082-25W4/00,1997-12-04,425.8,428,BRIDGE PLUG CAPPED W/CEMENT
100080708124W400,100/08-07-081-24W4/00,2004-01-18,435.6,436.1,JET PERFORATION
100080708124W400,100/08-07-081-24W4/00,2004-02-06,404,405,JET PERFORATION
100080708124W400,100/08-07-081-24W4/00,2004-02-12,376.5,378.5,JET PERFORATION
100080708124W400,100/08-07-081-24W4/00,2004-02-14,376.5,405,FRACTURED
100080708124W400,100/08-07-081-24W4/00,2004-03-06,432,442,PACKER
100080708124W400,100/08-07-081-24W4/00,2010-01-22,425,435,BRIDGE PLUG
100080708124W400,100/08-07-081-24W4/00,2010-01-22,429.2,430.2,JET PERFORATION
100103608125W400,100/10-36-081-25W4/00,1998-09-26,294,295,JET PERFORATION
100103608125W400,100/10-36-081-25W4/00,1998-09-26,411.5,412.5,JET PERFORATION
100103608125W400,100/10-36-081-25W4/00,2000-02-20,411,421,BRIDGE PLUG
100103608125W400,100/10-36-081-25W4/00,2000-02-21,329,330,JET PERFORATION
100103608125W400,100/10-36-081-25W4/00,2000-02-21,348,349,JET PERFORATION
100103608125W400,100/10-36-081-25W4/00,2000-02-21,360.5,363,JET PERFORATION
100103608125W400,100/10-36-081-25W4/00,2000-02-21,386,389,JET PERFORATION
100103608125W400,100/10-36-081-25W4/00,2000-03-01,348,349,FRACTURED
100103608125W400,100/10-36-081-25W4/00,2000-03-01,360.5,363,FRACTURED
100103608125W400,100/10-36-081-25W4/00,2000-03-01,386,389,FRACTURED
100103608125W400,100/10-36-081-25W4/00,2007-11-16,300,310,PACKER
100110208225W400,100/11-02-082-25W4/00,2004-02-02,420.3,421.3,JET PERFORATION
100110208225W400,100/11-02-082-25W4/00,2004-02-11,362.5,365.5,JET PERFORATION
100110208225W400,100/11-02-082-25W4/00,2004-02-13,362.5,365.5,FRACTURED
100110208225W400,100/11-02-082-25W4/00,2004-03-18,417.3,427.3,PACKER
100113008124W400,100/11-30-081-24W4/00,1975-02-12,425.5,465.7,OPEN-HOLE COMPLETION
