UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100040708124W402,100/04-07-081-24W4/02,0245371,COMMINGLED POOL 001,AGAT Laboratories Ltd.,364.0,406.0,N,WELLHEAD,100.0,8.0,150.0,21.0,0.0,0.0054,0.0022,0.0001,0.0002,0.9873,0.0015,0.0005,0.0009,0.0009,0.0005,0.0003,0.0002,0.0,,,,,0.566,16.4,,38.03,4607.49,191.93,,AB,2014-04-09
100040708124W402,100/04-07-081-24W4/02,0245371,CLEARWATER,AGAT Laboratories Ltd.,364.0,406.0,N,WELLHEAD,140.0,8.0,125.0,21.0,0.0,0.0053,0.0025,0.0001,0.0002,0.9865,0.0016,0.0011,0.0008,0.0008,0.0004,0.0002,0.0002,0.0003,,,,,0.567,16.4,,38.07,4606.51,192.03,104.9,AB,2012-06-16
100040708124W402,100/04-07-081-24W4/02,0245371,COMMINGLED,AGAT Laboratories Ltd.,364.0,406.0,N,WELLHEAD,200.0,8.0,200.0,21.0,0.0,0.005,0.0022,0.0001,0.0002,0.9871,0.0014,0.0008,0.0009,0.0008,0.0005,0.0003,0.0003,0.0004,,,,,0.567,16.4,,38.12,4605.4,192.08,103.7,AB,2015-06-02
100060808124W400,100/06-08-081-24W4/00,0209877,COMMINGLED,AGAT Laboratories Ltd.,465.0,469.0,N,WELLHEAD,200.0,8.0,100.0,21.0,0.0,0.0158,0.0026,0.0007,0.0001,0.9799,0.0007,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,,,,,0.57,16.5,,37.69,4637.08,192.18,,AB,2015-06-03
100060808124W400,100/06-08-081-24W4/00,0209877,COMMINGLED,AGAT Laboratories Ltd.,465.0,469.0,N,WELLHEAD,100.0,8.0,160.0,21.0,0.0,0.0114,0.0026,0.0009,0.0001,0.9829,0.0009,0.0002,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,,,,,0.568,16.5,,37.8,4623.15,191.93,100.2,AB,2014-04-12
100060808124W400,100/06-08-081-24W4/00,0209877,COMMINGLED,AGAT Laboratories Ltd.,465.0,469.0,N,WELLHEAD,80.0,5.0,135.0,21.0,0.0,0.0181,0.0025,0.0002,0.0001,0.9772,0.0009,0.0002,0.0001,0.0001,0.0002,0.0001,0.0,0.0003,,,,,0.575,16.6,,37.82,4644.18,192.78,114.2,AB,2011-11-16
100060908124W403,100/06-09-081-24W4/03,0211400,COMMINGLED POOL 001,AGAT Laboratories Ltd.,329.0,415.0,N,WELLHEAD,100.0,8.0,750.0,21.0,0.0,0.0036,0.0056,0.0001,0.0002,0.9859,0.0013,0.0004,0.0007,0.0007,0.0005,0.0003,0.0004,0.0003,,,,,0.566,16.4,,37.94,4597.84,191.55,104.9,AB,2014-04-13
100060908124W403,100/06-09-081-24W4/03,0211400,COMMINGLED,AGAT Laboratories Ltd.,329.0,415.0,N,WELLHEAD,110.0,5.0,160.0,21.0,0.0,0.0035,0.006,0.0008,0.0002,0.9851,0.0014,0.0005,0.0007,0.0007,0.0004,0.0003,0.0002,0.0002,,,,,0.565,16.4,,37.86,4595.38,191.3,107.2,AB,2011-11-16
100061808124W402,100/06-18-081-24W4/02,0182121,WABISKAW,AGAT Laboratories Ltd.,431.0,433.0,N,WELLHEAD,130.0,8.0,1.0,21.0,0.0,0.0266,0.0024,0.0,0.0001,0.9687,0.0009,0.0002,0.0002,0.0001,0.0001,0.0001,0.0002,0.0004,,,,,0.584,16.9,,37.86,4668.12,193.88,107.2,AB,2012-06-09
100061808124W402,100/06-18-081-24W4/02,0182121,WABISKAW,AGAT Laboratories Ltd.,431.0,433.0,N,WELLHEAD,200.0,8.0,130.0,21.0,0.0,0.0232,0.0015,0.0004,0.0001,0.9736,0.0008,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0,,,,,0.578,16.7,,37.76,4659.75,193.2,,AB,2015-06-02
100061908124W402,100/06-19-081-24W4/02,0144063,COMMINGLED POOL 001,AGAT Laboratories Ltd.,423.5,427.0,N,WELLHEAD,200.0,8.0,110.0,21.0,0.0,0.0025,0.0034,0.0,0.0001,0.9889,0.0013,0.0005,0.0008,0.0008,0.0006,0.0004,0.0004,0.0003,,,,,0.565,16.4,,38.07,4597.74,191.71,104.9,AB,2015-06-04
100061908124W402,100/06-19-081-24W4/02,0144063,COMMINGLED,AGAT Laboratories Ltd.,423.5,427.0,N,WELLHEAD,60.0,8.0,75.0,21.0,0.0,0.0301,0.0013,0.0002,0.0001,0.9665,0.0011,0.0,0.0003,0.0,0.0001,0.0,0.0001,0.0002,,,,,0.585,17.0,,37.83,4679.31,194.16,100.2,AB,2012-06-15
