well_name,uwi,location,kb_elevation,ground_elevation,total_depth,creation_date,has_logs,data_quality,has_GR,has_RHOB,has_NPHI,has_RT,has_DT,has_PE,has_CALI
100_01-04-081-24W4_00,,01-04-081-24W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_01-09-082-25W4_00,,01-09-082-25W4,,,,2025-03-01,False,Fair,True,True,False,False,False,False,False
100_01-09-082-25W4_001,,01-09-082-25W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_01-09-082-25W4_002,,01-09-082-25W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_01-26-081-25W4_00,,01-26-081-25W4,,,,2025-03-01,False,Fair,True,True,False,False,False,False,False
100_01-26-081-25W4_001,,01-26-081-25W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_01-28-081-25W4_00,,01-28-081-25W4,,,,2025-03-01,False,Fair,True,False,True,False,False,False,False
100_01-28-081-25W4_001,,01-28-081-25W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_01-28-081-25W4_002,,01-28-081-25W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_02-36-081-25W4_00,,02-36-081-25W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_02-36-081-25W4_001,,02-36-081-25W4,,,,2025-03-01,False,Poor,True,False,False,False,False,False,False
100_03-09-081-25W4_00,,03-09-081-25W4,,,,2025-03-01,False,Unusable,False,False,False,False,False,False,False
100_03-09-081-25W4_001,,03-09-081-25W4,,,,2025-03-01,False,Unusable,False,False,False,False,False,False,False
100_03-09-081-25W4_002,,03-09-081-25W4,,,,2025-03-01,False,Unusable,False,False,False,False,False,False,False
100_03-27-081-25W4_00,,03-27-081-25W4,,,,2025-03-01,False,Unusable,False,False,False,False,False,False,False
100_03-27-081-25W4_001,,03-27-081-25W4,,,,2025-03-01,False,Unusable,False,False,False,False,False,False,False
100_04-04-081-24W4_00,,04-04-081-24W4,,,,2025-03-01,False,Unusable,False,False,False,False,False,False,False
100_04-17-081-24W4_00,,04-17-081-24W4,,,,2025-03-01,False,Unusable,False,False,False,False,False,False,False
