well_name,has_gr,has_density,has_neutron,has_resistivity,curve_count,quality
100_01-04-081-24W4_00,True,False,False,False,2,Poor
100_01-09-082-25W4_00,True,True,False,False,2,Fair
100_01-09-082-25W4_001,True,False,False,False,2,Poor
100_01-09-082-25W4_002,True,False,False,False,2,Poor
100_01-26-081-25W4_00,True,True,False,False,2,Fair
100_01-26-081-25W4_001,True,False,False,False,1,Poor
100_01-28-081-25W4_00,True,False,True,False,2,Fair
100_01-28-081-25W4_001,True,False,False,False,1,Poor
100_01-28-081-25W4_002,True,False,False,False,1,Poor
100_02-36-081-25W4_00,True,False,False,False,1,Poor
100_02-36-081-25W4_001,True,False,False,False,1,Poor
100_03-09-081-25W4_00,False,False,False,False,0,Unusable
100_03-09-081-25W4_001,False,False,False,False,0,Unusable
100_03-09-081-25W4_002,False,False,False,False,0,Unusable
100_03-27-081-25W4_00,False,False,False,False,0,Unusable
100_03-27-081-25W4_001,False,False,False,False,0,Unusable
100_04-04-081-24W4_00,False,False,False,False,0,Unusable
100_04-17-081-24W4_00,False,False,False,False,0,Unusable
